"id","congAcc","incongAcc","congCorr_meanRT","incongCorr_meanRT","congCorr_logMeanRT","incongCorr_logMeanRT","flankEff_meanACC","flankEff_meanRT","flankEff_logMeanRT","reported_errors","committed_errors","memoryBias_score","num_incong_errors"
160015,0.9375,0.7875,0.430304183314244,0.486178608168466,0.357049764258799,0.396104987685392,-0.15,0.0558744248542222,0.0390552234265933,15,22,0.318181818181818,17
160023,1,0.975,0.599156132456847,0.636942873999186,0.46744683146416,0.490343429621953,-0.025,0.0377867415423396,0.0228965981577923,30,2,-14,2
160024,1,0.875,0.460419508733321,0.538157601422374,0.377431986552223,0.429584857125512,-0.125,0.0777380926890528,0.0521528705732887,8,10,0.2,10
160025,0.9875,0.9625,0.556181393575687,0.622962733742769,0.440826041872602,0.48299511288169,-0.025,0.0667813401670815,0.0421690710090884,30,4,-6.5,3
160029,0.95,1,0.48914926447469,0.530021706249318,0.397638141573397,0.424606047235311,0.05,0.0408724417746271,0.0269679056619134,6,4,-0.5,0
160033,1,0.825,0.50487636492887,0.601507923073279,0.407779738996915,0.469743672129076,-0.175,0.0966315581444088,0.0619639331321604,20,14,-0.428571428571429,14
160034,1,1,0.552374746249961,0.632328481250033,0.437788711725049,0.482729370985144,0,0.0799537350000719,0.0449406592600946,0,0,NA,0
160035,0.975,0.95,0.610950663157909,0.651573972973376,0.468161324562468,0.499855780417428,-0.025,0.0406233098154675,0.0316944558549594,7,6,-0.166666666666667,4
160042,0.95,0.9875,0.509485588157795,0.530373751950093,0.410497520308545,0.425220270280758,0.0375000000000001,0.0208881637922989,0.0147227499722135,4,5,0.2,1
160047,0.9875,0.9,0.512394080789258,0.563905940823991,0.412603522712629,0.446070359096178,-0.0875,0.0515118600347332,0.0334668363835491,30,9,-2.33333333333333,8
160048,0.9875,0.9875,0.633492891149171,0.752811853163817,0.488789410233273,0.558159567217699,0,0.119318962014646,0.069370156984426,10,2,-4,1
160049,1,0.925,0.46463213126699,0.512000034247487,0.380839467580544,0.413094006415264,-0.075,0.047367902980497,0.0322545388347206,25,6,-3.16666666666667,6
160053,0.9875,0.9625,0.536071731651473,0.587696209091802,0.428351567944987,0.461405672921804,-0.025,0.0516244774403289,0.033054104976817,60,4,-14,3
160057,0.9625,0.7125,0.593225667540395,0.726883735082913,0.458060372641549,0.543715561483997,-0.25,0.133658067542518,0.0856551888424479,10,26,0.615384615384615,23
160067,0.975,0.9625,0.539208964102494,0.647216452631578,0.430012294825193,0.497566890498722,-0.0125,0.108007488529085,0.0675545956735292,8,5,-0.6,3
160068,0.9375,0.975,0.584713303999999,0.598862887179492,0.459154041941569,0.462346212147936,0.0375,0.0141495831794932,0.00319217020636697,10,7,-0.428571428571429,2
160071,1,0.9875,0.508552777499997,0.545871526582282,0.409258788467836,0.43454909018231,-0.0125,0.0373187490822849,0.0252903017144741,8,1,-7,1
160076,1,0.9875,0.650241586250007,0.797988975949367,0.492678239442004,0.576302477110281,-0.0125,0.14774738969936,0.083624237668278,10,1,-9,1
