whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,15,18.55838569998741,None,18.55838569998741,None,8,0.36136449966579676,18.55838569998741,None,18.95661269966513,None,3.756513026052104,21.098686199635267,None,21.098686199635267,21.304864999838173,21.098686199635267,21.304864999838173,None,21.098686199635267,None,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-038-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,14,,,,,,,,,,,3.7424849699398797,24.95230359956622,24.95230359956622,24.95230359956622,25.154295299202204,24.95230359956622,25.154295299202204,None,24.95230359956622,24.95230359956622,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-303-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,0,,,,,,,,,,,3.81062124248497,28.788732499815524,28.788732499815524,28.788732499815524,28.99387509934604,28.788732499815524,28.99387509934604,None,28.788732499815524,28.788732499815524,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-306-003-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,13,,,,,,,,,,,3.8196392785571143,32.7135416995734,32.7135416995734,32.7135416995734,32.91848289966583,32.7135416995734,32.91848289966583,None,32.7135416995734,32.7135416995734,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-222-147-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,17,,,,,,,,,,,3.5861723446893787,36.63550370000303,36.63550370000303,36.63550370000303,36.837331399321556,36.63550370000303,36.837331399321556,None,36.63550370000303,36.63550370000303,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-228-173-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,9,,,,,,,,,,,3.9939879759519035,40.32035589963198,40.32035589963198,40.32035589963198,40.523940899409354,40.32035589963198,40.523940899409354,None,40.32035589963198,40.32035589963198,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-206-086-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,16,,,,,,,,,,,3.6102204408817635,44.40105039998889,44.40105039998889,44.40105039998889,44.60419869981706,44.40105039998889,44.60419869981706,None,44.40105039998889,44.40105039998889,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-212-097-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,4,,,,,,,,,,,3.6452905811623246,48.10562939941883,48.10562939941883,48.10562939941883,48.30807719938457,48.10562939941883,48.30807719938457,None,48.10562939941883,48.10562939941883,0,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-205-141-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,3,,,,,,,,,,,3.867735470941884,51.85183429997414,51.85183429997414,51.85183429997414,52.055565499700606,51.85183429997414,52.055565499700606,['1'],51.85183429997414,51.85183429997414,1,[0.5705549996346235],,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,19,,,,,,,,,,,3.9048096192384767,55.82115499954671,55.82115499954671,55.82115499954671,56.022789699956775,55.82115499954671,56.022789699956775,None,55.82115499954671,55.82115499954671,1,,,A,A,A,2022_Jun_06_1549,face_flanker_v1,2021.2.3,239.39366490535502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.846693386773547,,,,,,,,,,,,,,,,,,,,
